osm_id;tipo_apoyo;nombre;operador;voltaje;latitud;longitud
722168717;tower;;;;39,4630808;-0,4399328
722168721;tower;;;;39,4650748;-0,439941
750690681;tower;;;;39,4117081;-0,4581531
750690690;tower;;;;39,4091997;-0,4607006
750690697;tower;;;;39,4064678;-0,4634873
750690709;tower;;;;39,4039082;-0,4661019
750690717;tower;;;;39,4013009;-0,4687295
750690722;tower;;;;39,4100122;-0,4610112
750690723;tower;;;;39,4096773;-0,4646457
750690724;tower;;;;39,430979;-0,4526618
750690725;tower;;;;39,4320894;-0,4522215
750690726;tower;;;;39,4336861;-0,4509973
750690728;tower;;;;39,4345642;-0,4499918
750690729;tower;;;;39,4358326;-0,448153
750690730;tower;;;;39,4372678;-0,4460692
750690732;tower;;;;39,4384615;-0,4443482
750690734;tower;;;;39,3960494;-0,5082475
750690735;tower;;;;39,3946446;-0,5103511
750690736;tower;;;;39,3931466;-0,512637
750690737;tower;;;;39,391986;-0,5144468
750690744;tower;;;;39,3904641;-0,516762
750690845;tower;;;;39,4439369;-0,4484019
750690856;tower;;;;39,4413685;-0,4495077
750690867;tower;;;;39,4381715;-0,4508697
750690876;tower;;;;39,4350893;-0,4522195
750690887;tower;;;;39,4315453;-0,4537711
750691043;tower;;;;39,4229576;-0,4547967
750691044;tower;;;;39,4221483;-0,4539969
750691045;tower;;;;39,4194593;-0,4536806
750691049;tower;;;;39,4173126;-0,4550003
750691058;tower;;;;39,4143627;-0,4566138
750691083;tower;;;;39,4219267;-0,4537625
750691093;tower;;;;39,4194793;-0,4533686
750691103;tower;;;;39,4166515;-0,454548
750691120;tower;;;;39,4140403;-0,4556403
750691127;tower;;;;39,4112861;-0,4567834
750691134;tower;;;;39,4084433;-0,4579078
750691140;tower;;;;39,4057733;-0,4590735
750691143;tower;;;;39,4037499;-0,4599218
750691144;tower;;;;39,4004124;-0,4613067
750691233;tower;;;;39,4468245;-0,4471421
750691236;tower;;;;39,4491788;-0,4461385
750691237;tower;;;;39,4526736;-0,4446221
750691238;tower;;;;39,4554722;-0,4433758
750691239;tower;;;;39,4582185;-0,4421337
750691247;tower;;;;39,4610794;-0,4408484
750704729;tower;;;;39,5532738;-0,5093424
750704734;tower;;;;39,550721;-0,5091075
750704741;tower;;;;39,5476371;-0,5079019
750704751;tower;;;;39,5431874;-0,5052512
750704762;tower;;;;39,5404084;-0,5039861
750704768;tower;;;;39,538003;-0,502871
750704816;tower;;;;39,5278679;-0,5071618
912959801;tower;;;;39,6215128;-0,3336011
912959802;tower;;;;39,6234291;-0,3299514
912959803;tower;;;;39,6250714;-0,3267906
912959804;tower;;;;39,6263848;-0,3242632
912959805;tower;;;;39,6289424;-0,3193453
912959806;tower;;;;39,6295224;-0,318229
912959807;tower;;;;39,631041;-0,3170919
912959808;tower;;;;39,6356101;-0,3136949
912959842;tower;;;;39,6386145;-0,3119531
912959843;tower;;;;39,6412301;-0,3104466
912959844;tower;;;;39,6439904;-0,3088285
912959845;tower;;;;39,648904;-0,3065545
912959846;tower;;;;39,651372;-0,3054185
912959847;tower;;;;39,6535005;-0,3044107
912959848;tower;;;;39,6548768;-0,3037836
912959849;tower;;;;39,6574972;-0,3026638
912959850;tower;;;;39,6588387;-0,3019466
912959851;tower;;;;39,6564671;-0,2997707
912961409;tower;;;;39,6555337;-0,295962
912961410;tower;;;;39,654749;-0,292754
