indicativo;nombre;provincia;altitud;lat;lon
7244X;ORIHUELA;ALICANTE;26;38.06777777777778;-0.9813888888888889
7247X;EL PINÓS/PINOSO;ALICANTE;577;38.39972222222222;-1.0380555555555557
7261X;ROJALES;ALICANTE;31;38.088055555555556;-0.7152777777777777
8005X;FONTANARS DELS ALFORINS;VALENCIA;622;38.78;-0.7958333333333333
8008Y;VILLENA;ALICANTE;486;38.57694444444445;-0.8655555555555555
8013X;NOVELDA;ALICANTE;233;38.385555555555555;-0.7577777777777778
8018X;ELX/ELCHE;ALICANTE;110;38.2875;-0.6805555555555555
8019;ALICANTE-ELCHE AEROPUERTO;ALICANTE;43;38.282777777777774;-0.5708333333333333
8025;ALACANT/ALICANTE;ALICANTE;81;38.3725;-0.49416666666666664
8036Y;BENIDORM;ALICANTE;36;38.54361111111111;-0.13777777777777778
8050X;JÁVEA/ XŔBIA;ALICANTE;15;38.784166666666664;0.16666666666666666
8057C;PEGO;ALICANTE;60;38.84666666666667;-0.11833333333333333
8058X;OLIVA;VALENCIA;1;38.90416666666667;-0.065
8058Y;MIRAMAR;VALENCIA;12;38.95027777777778;-0.13777777777777778
8059C;ALCOI/ALCOY;ALICANTE;530;38.71083333333333;-0.46
8072Y;BARX;VALENCIA;340;39.01694444444444;-0.3047222222222222
8193E;JALANCE;VALENCIA;372;39.208333333333336;-1.0944444444444443
8203O;ZARRA;VALENCIA;856;39.08305555555556;-1.1011111111111112
8270X;BICORP;VALENCIA;305;39.13361111111111;-0.79
8283X;ONTINYENT;VALENCIA;350;38.82944444444445;-0.6077777777777778
8293X;XŔTIVA;VALENCIA;88;39.001666666666665;-0.5230555555555556
8300X;CARCAIXENT;VALENCIA;25;39.11333333333334;-0.44583333333333336
8309X;UTIEL;VALENCIA;758;39.57555555555556;-1.2447222222222223
8325X;POLINYŔ DE XÚQUER;VALENCIA;11;39.18388888888889;-0.3713888888888889
8337X;TURÍS;VALENCIA;186;39.39222222222222;-0.6247222222222223
8381X;ADEMUZ;VALENCIA;705;40.06055555555555;-1.283611111111111
8395X;CHELVA;VALENCIA;515;39.75333333333333;-0.9936111111111111
8409X;LLÍRIA;VALENCIA;198;39.663888888888884;-0.653888888888889
8414A;VALENCIA AEROPUERTO;VALENCIA;56;39.485;-0.4747222222222222
8416;VALČNCIA;VALENCIA;13;39.480555555555554;-0.3663888888888889
8416X;VALENCIA, UPV;VALENCIA;6;39.47944444444445;-0.3372222222222222
8416Y;VALČNCIA, VIVEROS;VALENCIA;13;39.48083333333334;-0.3661111111111111
8439X;SEGORBE;CASTELLON;400;39.79555555555555;-0.4852777777777778
8446Y;SAGUNT/SAGUNTO;VALENCIA;24;39.700833333333335;-0.2588888888888889
8472A;MONTANEJOS;CASTELLON;601;40.08777777777778;-0.5469444444444445
8489X;VILLAFRANCA DEL CID/VILAFRANCA;CASTELLON;1130;40.43333333333333;-0.25555555555555554
8492X;ATZENETA DEL MAESTRAT;CASTELLON;420;40.227222222222224;-0.16972222222222222
8500A;CASTELLÓ - ALMASSORA;CASTELLON;43;39.95722222222223;-0.07194444444444445
8501;CASTELLÓ DE LA PLANA;CASTELLON;23;39.98916666666667;-0.03222222222222222
8503Y;TORREBLANCA;CASTELLON;35;40.21138888888889;0.18361111111111109
8520X;LA POBLA DE BENIFASSŔ-FREDES;CASTELLON;1165;40.69361111111111;0.16527777777777777
8523X;VINARŇS;CASTELLON;111;40.55416666666667;0.4297222222222222
9562X;MORELLA;CASTELLON;990;40.62166666666667;-0.10194444444444445
9563X;CASTELLFORT;CASTELLON;1220;40.49861111111111;-0.18666666666666665
