osm_id;nombre;operador;voltaje;latitud;longitud
1511366405;;;;39,4713881;-0,3943354
1770120375;;;;39,3289366;-0,600733
1918472139;;;;38,1253764;-0,6503589
1918472141;;;;38,1264589;-0,6493397
1918472142;;;;38,1261403;-0,6498386
1918472143;;;;38,1259124;-0,6499298
1948816994;;;;38,0962684;-1,1634077
5619318505;;;;37,8456544;-0,7955629
5619327705;;;;37,8470277;-0,8046497
5896826328;;;;39,4301278;-0,4717587
8922954391;Subestación Eléctrica Sierra De Ascoy;Elecdey;;38,269373;-1,3879413
8926541262;Subestación Folch;Acciona Energía;;40,4681883;-0,2107036
8926752330;Subestación Embalague;Acciona Energía;;40,5342609;-0,28175
8926800825;Torre de Miró;Acciona Energía;;40,6725307;-0,0887125
11688513923;;;;40,1197536;-0,7690117
11710795824;ST Alameda;;"220000;132000;20000";39,4562962;-0,3475148
12601503679;Parque Eólico de Peñas de Dios;;;39,8297474;-0,8689271
12906282390;;;;40,0491563;0,0471968
13398530816;;;;38,2304116;-1,5618614
13398530817;;;;38,2343853;-1,5593864
13426532015;SET PE Santos de Piedra;;"30000;132000";40,5497394;-1,512839
25737185;SET San Juan d'Alacant;;"132000;20000";38,3900152;-0,4601994
28648202;SET San Vicente;Red Eléctrica de España;"220000;132000;66000";38,3968757;-0,5379966
33771314;Subestacion electrica La Eliana;"Red Eléctrica de España;Iberdrola";"400000;220000;132000;20000";39,5545838;-0,5106262
34585227;Subestación de la Plana;Red Eléctrica de España;"400000;220000;132000";39,9667916;-0,0965304
39827901;El Ingenio;Iberdrola;220000;39,9783768;-0,0150797
41401161;;Iberdrola;;40,121581;0,1515404
45420851;;;;38,7788504;-0,1037756
49778136;SET Vall d'Uixó;Iberdrola;"66000;20000";39,8118931;-0,224987
51824074;Subestación El Campo;;220000;39,989334;-0,6803568
55275595;Torre de Miró;Acciona Energía;132000;40,672539;-0,0887066
58226629;Subestación de Quart;Iberdrola;"132000;20000";39,4714296;-0,4332409
60351390;Subestació elèctrica de Torrent;"Red Eléctrica de España;Iberdrola";"400000;220000;132000;66000;20000";39,4235462;-0,454668
